Sentence,Label
Explain the concept of machine learning and its real-world applications.,1
"Implement a Python function that handles exceptions for dividing two numbers, providing a meaningful error message.",0
You're designing a line of clothing for a charity event. What elements would you prioritize to make sure your designs are both stylish and meaningful?,2
Evaluate the impact of technology on fashion retail and e-commerce.,2
"Elegant white lace dress with a scalloped hem, accessorized with nude heels, a clutch, and delicate gold jewelry for a sophisticated summer event.",2
"Flowy wide-leg pants in a bright, summery print, paired with a cropped tank top, wedge sandals, and a stack of bangle bracelets.",2
"x = 5
y = 10
print(x + y)",0
"x = input(""Type a number: "")
y = input(""Type another number: "")

sum = int(x) + int(y)

print(""The sum is: "", sum)",0
Please build a machine-learning model that predicts subject based on historical data. Use the past year as the training period and the most recent month as the validation period.,0
India returns Chandrayaan-3 propulsion module to Earth orbit,4
"IPL 2024: Might see Starc playing at RCB this season, says Irfan Pathan",3
"AI is rapidly developing, and it has the potential to revolutionize many industries, including healthcare, transportation, and customer service. AI-powered machines are already being used to diagnose diseases, drive cars, and provide customer support.",1
I am looking for shoes,2
Pallathuruthi Boat Club recently won the 68th edition of the Nehru Trophy for a boat race held on the Punnamada Lake in Alappuzha district of Kerala. ,3
Tommy Hilfiger is that they are manufacturing sneakers made partly from Frumat,2
Discuss the pros and cons of renewable energy sources like solar and wind power.,1
"Turn the data below into a case study with the following format: Challenge,Solution,Result.",7
The Fourth Industrial Revolution has been defined as technological developments in cyber-physical systems such as high capacity connectivity; new human-machine interaction modes such as touch interfaces and virtual reality systems,1
Predict the future trends in fashion technology.,2
"Nautical-inspired outfit with a striped t-shirt, white linen shorts, boat shoes, and a rope belt for a day spent by the water.",2
Could you find potential issues in this JavaScript code: your_code_here?,0
Explain the concept of cloud computing and its advantages for businesses.,1
"Describe the process of photosynthesis in detail, highlighting its role in the ecosystem.",1
Answer frequently asked questions in your niche.,7
Write about the latest technological developments in your field.,7
Write a Swift function named greetUser that takes a string username as input and prints a greeting message to the console,0
Could you break down this piece of code written in a particular programming language and explain what it does,0
India Clinches Victory in Thrilling Asian Champions Trophy Final,3
"On October 27, the Board of Control for Cricket in India (BCCI) announced that it will provide equal pay for both men and women.",3
y = 6;  ,0
"Chic linen jumpsuit in a bold hue, accessorized with a wide-brimmed sun hat, oversized sunglasses, and flat strappy sandals.",2
"Often riffing on and reinterpreting, Rick Owens stands as an excellent way for newcomers (or those looking to round out their wardrobe) seeking to experience unique aesthetic concepts. Rick Owens’ presence in the top fashion brands of 2020-2021 rank",2
The device enables NASA to better observe space shuttles and space walks.,4
"const points = [40, 100, 1, 5, 25, 10];

for (let i = points.length -1; i > 0; i--) {
  let j = Math.floor(Math.random() * (i+1));
  let k = points[i];
  points[i] = points[j];
  points[j] = k;
}",0
"function myArrayMax(arr) {
  let len = arr.length;
  let max = -Infinity;
  while (len--) {
    if (arr[len] > max) {
      max = arr[len];
    }
  }
  return max;
}",0
Analyze the impact of fashion on the labor market and working conditions.,2
"Thom Browne’s clothing put a fresh spin on heritage-inspired style, shrunken silhouettes, and playful androgyny.",2
"Share your must-have toolkit, explaining how each tool contributes to your work.",7
"The Soviet Union began the space race by launching humankind's first artificial satellite. The 23-inch diameter sphere transmitted signals to Earth for 22 days and continued in orbit until burning up on Jan. 4, 1958 .",4
"<!DOCTYPE html> <html> <body> <h2>Demo JavaScript in Body</h2> <p id=""demo"">A Paragraph</p> <button type=""button"" onclick=""myFunction()"">Try it</button> <script> function myFunction() { document.getElementById(""demo"").innerHTML = ""Paragraph changed.""; } </script> </body> </html>",0
"Tereshkova orbited Earth 48 times in her space capsule, the Vostok 6. That was her only trip into space",4
"The Sun weighs about 330,000 times more than Earth.",4
Describe the role of artificial intelligence in autonomous vehicles.,1
India Wins Medals in Rowing at 2022 Hangzhou Asian Games,3
"Virtual reality has been the future before: ever since the first stereoscopes, people have been excited about the possibility of disappearing into other worlds that appear before their eyes. But it has never quite arrived.",1
Haliburton's Triple-Double and Late 4-Point Play Help Pacers Oust Celtics From NBA Tourney,3
Create a travel playlist,6
Write a C++ function to find the maximum element in an array.,0
Scientists monitor these extreme seasons on Uranus and expected that the 2007 equinox on the planet might cause unusual weather.,4
Olympic gold medalist Neeraj Chopra recently won the Lausanne Diamond League with a best throw of 89.08m. He became the first Indian to win the Diamond League meeting title.,3
"Messi then appeared to have won it when he prodded home a loose ball in the 108th minute, but Mbappe picked himself up off the canvas to tuck home another penalty.",5
"The United States, still playing catch-up in the space race, landed its first spacecraft, the unmanned Surveyor 1, on the moon in June.",4
Wimbledon beat Liverpool in the 1988 FA Cup final,5
"int i = 0;

while (i < 10) {
  if (i == 4) {
    i++;
    continue;
  }
  printf(""%d\n"", i);
  i++;
}",0
"plt.figure(figsize=(14, 8))
barplot = sns.barplot(x=list(models.keys()), y=accuracies, palette=""coolwarm"")
barplot.set(xlabel='Models', ylabel='Accuracy', title='Accuracy of Different Models')

for p, acc in zip(barplot.patches, accuracies):
    barplot.annotate(f'{acc:.2%}', (p.get_x() + p.get_width() / 2., p.get_height()),
                     ha='center', va='center', fontsize=10, color='black', xytext=(0, 10),
                     textcoords='offset points')
",0
"Internet of vehicles (IoV) is a network of vehicles equipped with sensors, software, and the technologies that mediate between these with the aim of connecting & exchanging data over the Internet according to agreed standards",1
Could you break down how this function written in a specific programming language works,0
I want you to act as a data scientist and perform feature engineering for a customer churn prediction model. The dataset contains customer metrics. Please write Python code to generate new features that could improve the model’s performance.,0
Compare and contrast virtual reality (VR) and augmented reality (AR) technologies.,1
"Discuss the potential of nanotechnology in various industries, from medicine to electronics.",1
"Jupiter's Great Red Spot, a massive storm, has been raging for at least 350 years.",4
index(),0
Book Flights and Hotels,6
"Electric cars are already quicker, safer, and more interesting to look at than traditional gas guzzlers, but they still can’t compete in one key area: charge time.",1
Mbappe despatched his own penalty with ten minutes to go to give Les Bleus hope.,5
"Honeywell, which once sold massive mainframes, predicts the performance of its quantum computers will grow by a factor of 10 every year for each of the next five years -- meaning they'd be 100,000 times faster in 2025.",1
Please review this CSS code for style and best practices: your_code_here.,0
Explain the concept of renewable energy sources and their importance in addressing environmental concerns.,1
The Ladakh Autonomous Hill Development Council recently launched Pangong Tso Marathon. The marathon is the first of its kind in India.,3
"From 24th April 2022 to 3rd May 2022, the Khelo India University Games 2021 was successfully conducted at Jain University, Bengaluru. ",3
"import pymongo

myclient = pymongo.MongoClient(""mongodb://localhost:27017/"")

mydb = myclient[""mydatabase""]
Run example »

",0
Analyze market developments and opportunities within your industry.,7
Analyze the role of fashion in promoting social change and awareness.,2
"Less than a month later, on March 1, the Soviet Union would succeed in landing a spacecraft on Venus.",4
" Leonov walked in space for about 10 minutes. His suit expanded minutes after he stepped into space owing to the lack of pressure, and he was unable to fit through the hatch when he tried return to the spacecraft.",4
John Terry’s Penalty Slip against Manchester United,5
Discuss the concept of artificial intelligence and its current impact on various scientific fields.,1
Discuss the challenges and opportunities in the field of quantum cryptography.,1
"Prada is one of the world’s leading luxury high fashion brands offering clothes, apparel, luggage and luxury goods manufactured with the finest artisanal techniques, using exquisite materials",2
"Near a black hole, time dilation occurs according to Einstein's theory of general relativity.",4
"Write guides on sales, marketing, and other key topics in your niche.",7
"This is the softest, most perfectly cut basic. love the black, wish the white was a true white or ivory instead of heathered. as usual with retailer basics, i prefer the regular length despite being petite with a short torso.",2
"Can you walk me through the flow of this script written in a particular programming language const payload = (email_id: string) => {
  return new Promise(async (resolve, reject) => {
    connection.pool.query(GET_PAYLOAD(email_id), (error, results) => {
      if (error) {
        console.log(error, ""error"");
        reject(ErrorCodes.DatabaseError);
        return;
      }
      const data = results.rows;
      resolve(data);
    });
  });
};
",0
<body> <h1>My First Web Page</h1> <p>My first paragraph.</p> <script> document.write(5 + 6); </script> </body>,0
"Playful romper in a vibrant pattern, worn with platform sandals, tassel earrings, and a woven crossbody bag.",2
python -m spacy download en_core_web_sm,0
Pluto is smaller than the United States.,4
The Majority of Earth’s Oxygen Is Produced by Oceans ,1
"Write my weekly newsletter, including headings and  two-to-three-sentence paragraphs about.",7
5G Network Technology - The 5G network technology is the latest generation of mobile network technology.,1
"A one-shoulder ruffled top in a vibrant hue, paired with white denim shorts, heeled sandals, and a stack of colorful bangles for a stylish day-to-night look.",2
I want you to act as a software architecture consultant. I’m designing a scalable microservices-based system and need guidance on which architectural patterns and technologies to use.,0
He made history again at the age of 77 in 1998 by becoming the oldest person to fly into space when he flew on the space shuttle.,4
"In 1958, space exploration activities in the United States were consolidated into a new government agency, the National Aeronautics and Space Administration (NASA)",4
Act as a data scientist and build a recommendation system for an ecommerce platform. The dataset contains user browsing and purchase history. Please write in Python code.,0
Plan a trip to Rajasthan,6
Beijing successfully hosted the Olympic Winter Games from February 4 to 20 and the Paralympic Winter Games from March 4 to 13. Chinese President Xi Jinping attended the opening and closing ceremonies and declared both events open.,3
Can you give me unique ideas for a user interface component that will enhance the user experience of a mobile app?,0
"Since 1957 Earth-orbiting satellites and robotic spacecraft journeying away from Earth have gathered valuable data about the Sun, Earth, other bodies in the solar system, and the universe beyond",4
"Balenciaga’s October 2020 collection, which included 90% recycled, upcycled, or certified-sustainable materials",2
Invariant Violation: Expected drag drop context,0
Provide creative ideas for implementing animation effects in a web application.,0
Describe the local cuisine of Bangkok and suggest dishes to try,6
Pele Greets Ronaldo After Brazil’s 2002 World Cup Win,5
How can I spend my weekend in Bangalore,7
"On May 28, 1972, the Soviet spacecraft Mars 3 made the first soft landing on another planet when it touched down on Mars. Mars 3 had arrived at the red planet the previous December",4
You're tasked with designing a fashion-forward uniform for a new luxury hotel. What key elements would you make sure to include?,2
"Casual summer outfit featuring a striped tank top, high-waisted linen pants, and espadrille flats, finished with a woven belt and hoop earrings.",2
"Soviet cosmonaut Yuri Gagarin became the first human to fly into space and return to Earth safely, beating the United States by several weeks.",4
"Share a ""day in the life"" of a person in your niche, highlighting key activities and routines.",7
CC is conducting the T20 Women’s World Cup in South Africa. India entered the semi-finals after beating Ireland. It played its semi-finals against Australia.,3
"Enceladus, one of Saturn’s smaller moons, reflects 90% of the Sun’s light.",4
"Gagarin circled the planet in 108 minutes aboard the Vostok 1 spacecraft that traveled at 17,000 miles an hour. ",4
"Write persuasive Google Ad copy for a campaign targeting, focusing on our product using this",7
"Can you help me implement a natural language processing (NLP) model? I have a dataset of customer reviews, and I want to classify them into positive and negative sentiment categories. Please provide the code for text preprocessing, feature extraction, and model training.",0
"The official logo, mascot and hashtag were unveiled by the Chief Minister of Tamil Nadu M K Stalin and President of AICF Dr. Sanjay Kapoor in Chennai.",3
Formula E is an electric car race. It is a championship of single-seater electric cars.,3
Suggest a packing list for a two-week hiking trip in the Rockies,6
Are there any security vulnerabilities in this PHP code: your_code_here?,0
Explain the concept of quantum computing and its potential applications.,1
"const passphrase = process.env.SECRET_KEY as string;

try {
  const check = await collections.account?.findOne({ email_id: value });
  
  if (check) {
    const encryptedPassword = check.password;
    console.log('Encrypted Password:', encryptedPassword);
    resolve(check);
  } else {
    // Handle the case where no document was found for the given email_id.
    // You may want to return an appropriate error response or take other actions.
    resolve(/* Handle No Document Found */);
  }
} catch (error) {
  console.error('Error occurred:', error);
  resolve(ErrorCodes.DatabaseError);
  return;
}",0
"In 2015, Hermes partnered with Apple Inc to produce the Apple Watch Hermes, combining Apple’s smartwatch with Hermes’s specially crafted single tour, double tour, and cuff watch bands.",2
The Border Gavaskar Trophy is conducted by the BCCI and Cricket Australia; and is played via ICC.,3
Interview successful business people for valuable insights.,7
"This was followed by NASA’s Skylab space station, the first orbital laboratory in which astronauts and scientists studied Earth and the effects of spaceflight on the human body.",4
"Please write code for subject data visualization and exploration, including scatter plots, histograms, and correlation matrices.",0
Companies and countries are pouring billions of dollars into quantum computing research and development.,1
"The brand markets these products under several labels: Giorgio Armani Prive, Giorgio Armani, Armani Collezioni, Emporio Armani (including EA7), Armani Jeans, Armani Junior, and Armani Exchange.",2
"Create a C++ class to model a simple library system with methods for adding books, checking out, and returning.",0
India has gained its 79th Grandmaster with the title being awarded to 16-year-old Pranesh M from Tamil Nadu.,3
"You're designing a collection for a major fashion show. What styles and fabrics would you incorporate, and how would you make sure your designs stand out?",2
The International Shooting Sport Federation conducts the ISSF World Shooting Championship.,3
Describe potential use cases for implementing machine learning algorithms in a data analysis application.,0
Paul Gascoigne's superb free-kick against Arsenal was greeted with superb commentary,5
"If a star passes too close to a black hole, it can be torn apart.",4
Vijay Hazare Trophy: Himachal's Arpit Guleria picks up 8-wicket haul vs Gujarat,3
"Electric cars are energy efficient, and they do not cause much air and noise pollution.",1
"According to mathematics, white holes are possible, although as of yet we have found none.",4
"I have a dataset of customer transactions. Please write code to calculate various customer lifetime value (CLV) metrics, such as metrics.",0
Write about a goal you achieved and how you did it.,7
"const cars = [
  {type:""Volvo"", year:2016},
  {type:""Saab"", year:2001},
  {type:""BMW"", year:2010}
];",0
"<button onclick=""myFunction2()"">Sort Numerically</button>

<p id=""demo""></p>

<script>
const points = [40, 100, 1, 5, 25, 10];
document.getElementById(""demo"").innerHTML = points;

function myFunction1() {
  points.sort();
  document.getElementById(""demo"").innerHTML = points;
}

function myFunction2() {
  points.sort(function(a, b){return a - b});
  document.getElementById(""demo"").innerHTML = points;
}
</script>",0
"While Mars seems quiet now, gigantic volcanoes once dominated the surface of the planet.",4
"While the video game industry was expected to get an economic boost from virtual reality, the broader tech industry sees other applications for the nascent technology, including education, health care, architecture and entertainment.",1
"Genetic engineering is a powerful technology that has the potential to cure diseases, improve crops, and create new organisms. However, it also raises ethical concerns about the manipulation of life.",1
"Two-piece summer outfit with a matching crop top and shorts in a playful print, worn with slide sandals and a statement cuff bracelet.",2
"Smartphones have become ubiquitous in the 21st century, and they have changed the way we communicate, work, and entertain ourselves.",1
Evaluate the effectiveness of different strategies for encouraging and supporting emerging fashion talent.,2
I did not remove Virat Kohli from captaincy: Sourav Ganguly,3
"Those first, blurry images of Mars's craters and barren landscape suggested to some scientists that the planet was similar to our moon and dispelled hope that it had ever held life.",4
"Because of lower gravity, a person who weighs 220 lbs on Earth would weigh 84 lbs on Mars.",4
Discuss the potential benefits and drawbacks of fashion's influence on consumer behavior.,2
"document.getElementById(""myH"").innerHTML = ""My First Page"";",0
Plan a trip to Kullu manali,6
"This shirt spoke to me, as soon as i entered the store! i love the colorful plaid, the flattering cut, and the light, airy material. at very least, i think this will be a three-season go to!",2
"Effortless and super cute! i'm currently wearing my blue tunic for the first time with black leggings and booties - i absolutely love the everyday comfort of this piece! a few have mentioned length as being an issue - i'm wearing a regular s (my normal size) at 5'7"" and find the length similar to the model's. the cut on this is perfect - i was worried that it would look like a plaid sack on, but it's a slim cut that looks polished without needing to be belted. this will surely be a go-to for me",2
Discuss the role of fashion in fostering cultural exchange and understanding.,2
"What is the human microbiome, and how does it impact our health and well-being?",1
Plan a trip to Switzerland,6
"Retired NASA astronaut Mary Cleave, a veteran of two NASA spaceflights, died Nov. 27.",4
Discuss the role of fashion in promoting social status and hierarchy.,2
"Blockchain technology employs a highly decentralized, tamper-resistant ledger that records transactions across a network of computers.",1
Implement a C++ program that uses a loop to print the multiplication table for a given number.,0
You're designing a line of clothing for a major sporting event. What features would you include to ensure your designs are both functional and fashionable?,2
"1966 would prove to be a significant year for the Soviet space program. In February of that year, the USSR would land an unmanned spacecraft called Luna on the moon that sent back transmissions to Earth",4
"Orbiting satellites also have provided, and continue to provide, important services to the everyday life of many people on Earth. ",4
"Rajasthan Royals full list of players retained, released, traded ahead of IPL 2024 auction",3
"But as the smart home and the voice assistants that power it have soared in popularity, they have been beset by concerns, too. ",1
"The largest known star is UY Scuti, with a diameter over 1700 times that of our sun.",4
Go to events with your kids and review the experience for families.,7
Share business success stories to inspire your audience.,7
You're designing a line of clothing for an up-and-coming music artist. What elements would you incorporate to make sure the artist's style and personality shine through?,2
lex Ferguson Hugs Ronaldo after EuroCup 2016,5
"The 2022 Winter Olympics ended on February 20, 2022, by uplifting closing ceremony.",3
"<script src=""/js/myScript.js""></script>",0
Review this C++ function for errors: your_code_here.,0
Analyze the influence of fashion on societal attitudes and perceptions.,2
"What is the theory of evolution, and how does it explain the diversity of life on Earth?",1
"int myNumbers[] = {25, 50, 75, 100};
int i;

for (i = 0; i < 4; i++) {
  printf(""%d\n"", myNumbers[i]);
}",0
Thom Browne has grown from a small “by appointment” shop to a globally admired lifestyle label.,2
"I am giving it five stars because the colors and design are so beautiful. but i am a medium, size 6 around 5' 8, and i chose the m/l, which is just too big. i also found a run in the fabric, which is very loose and knit-like in places. but i don't care, i am exchanging for another one in small.",2
Write about a mistake you made and what you learned.,7
"Casual summer outfit with a sleeveless chambray shirt, khaki shorts, flat leather sandals, and a simple pendant necklace.",2
"Cloud computing has democratized access to powerful computing resources which has given birth to innovation across industries, from AI and IoT to e-commerce and healthcare. ",1
"P V Sindhu won the Swiss Open 2022 defeating Busanan Ongbamrungphan of Thailand in the finals of the Swiss Open Super 300 badminton tournament held in Basel, Switzerland.",3
Variable 'words' implicitly has type 'any[]' in some locations where its type cannot be determined.ts(7034),0
Discuss the role of gender and sexuality in shaping fashion trends and norms.,2
Analyze the challenges and opportunities associated with the circular economy in fashion.,2
im having trouble understanding this section of the code written in a certain programming language. Can you explain it,0
The Khelo India scheme was launched to increase the sports skills of the youth in the country and also to increase the sports infrastructure.,3
Share stock market predictions based on your analysis.,7
Provide tips for sustainable travel in Costa Rica,6
Suggest a budget-friendly itinerary for a 3-day trip to Dubai.,6
"On July 17, 2022 PV Sindhu acquired the first Super 500 title in her career, after defeating Asian champion Wang Zhi Yi from China.",3
Artificial intelligence – simulating human intelligence in machines – used to be confined to science fiction.,1
"I was walking by my local retailer and saw this in the window and loved the colors. it's a great combination and looks good with white jeans, and regular denim. i like the cuffs on the sleeves and the textured material. it is a kimono - so in essence it is not form fitting. it's meant to flow over whatever else you have on. i purchased the xs/s and i am a normal size 2 and it looks cute. i got lots of compliments when i wore it! there are slits on either side at the bottom hem as well which allow",2
Design a line of clothing for an emerging city. What styles and colors would you incorporate to make sure your designs are both fashionable and relevant to the locale?,2
"Perhaps bigger than bitcoin is blockchain, the encryption technology behind the cryptocurrency.",1
"Japan is the largest manufacturer of robots in the world with more than fifty percent of the world’s robot manufactured in Japan. They have a lot of robots working in their hotels as staff. Also, some factories run entirely by robots, and they make other robots. Moreover, kids are taught about how to make a robotic arm in Holiday Programs.",1
I want you to act as a programmer in programming language. Please simplify this code: insert code.,0
"Tropical-print wide-leg jumpsuit with a smocked bodice, worn with platform heels, a statement necklace, and a clutch for a night out.",2
"Copa América Semifinals in New Jersey and Charlotte, Among 14 U.S. Cities Hosting Next Summer",3
Bhuvneshwar Kumar's international career has hit a roadblock: Aakash Chopra,3
"import pandas from sklearn import tree from sklearn.tree import DecisionTreeClassifier import matplotlib.pyplot as plt df = pandas.read_csv(""data.csv"") d = {'UK': 0, 'USA': 1, 'N': 2} df['Nationality'] = df['Nationality'].map(d) d = {'YES': 1, 'NO': 0} df['Go'] = df['Go'].map(d) features = ['Age', 'Experience', 'Rank', 'Nationality'] X = df[features] y = df['Go'] dtree = DecisionTreeClassifier() dtree = dtree.fit(X, y) tree.plot_tree(dtree, feature_names=features)",0
Write a Python function to calculate the factorial of a given number.,0
"d = {'UK': 0, 'USA': 1, 'N': 2}
df['Nationality'] = df['Nationality'].map(d)
d = {'YES': 1, 'NO': 0}
df['Go'] = df['Go'].map(d)

print(df)",0
"Develop a C++ program that handles exceptions when dividing two numbers, providing a meaningful error message.",0
" It transmitted its first pictures of Jupiter back to Earth in April 1978, when it was 165 million miles away. Voyager 1 was the first to journey into interstellar space in 2012.",4
"A space probe is an unpiloted, unmanned device sent to explore space and gather scientific information.",4
"The first space station, Salyut 1, launched by the Soviet Union on April 19, 1971, achieved significant progress in humankind's ability to live and work in space.",4
Raf Simon’s inclusion to the top fashion labels in the world rank is based on:,2
"Even so, the market isn't showing any signs of stalling. In the US alone, the facial recognition industry is expected to grow from $3.2 billion in 2019 to $7 billion by 2024.",1
"switch (n) {
  case label1:
    code to be executed if n=label1;
    break;
  case label2:
    code to be executed if n=label2;
    break;
  case label3:
    code to be executed if n=label3;
    break;
    ...
  default:
    code to be executed if n is different from all labels;
}",0
"Based on the trip you created, what will be the total expense of traveling around and just enjoying myself for just one person? Exclude hotel and flights.",6
"var x = 10;
// Here x is 10

{
var x = 2;
// Here x is 2
}

// Here x is 2",0
"Cartier International SNC, or simply Cartier is a French luxury goods conglomerate that designs, manufactures, distributes, and sells jewellery and watches. ",2
"cryptocurrencies have also received a lot of criticism for their use in illegal activities. Some cryptocurrencies are valued for their privacy and anonymity, making their transactions harder to track.",1
3D printing has enabled the creation of physical objects from digital designs and has forever changed the landscape of manufacturing.,1
The Indian space agency ISRO announced Dec. 4 that the propulsion module for the Chandrayaan-3 mission is now in a high orbit around the Earth after a series of maneuvers since October that returned the spacecraft from a low lunar orbit,4
"Laxman Rawat of PSPB emerged victorious in the ‘Baulkline’ NSCI All India Snooker Open, beating fellow PSPB challenger Aditya Mehta 9-6 in a best-of-17-frame final.",3
"The largest known star is UY Scuti, with a diameter over 1700 times that of our sun.",4
Our solar system is 4.57 billion years old.,4
The hottest planet in our solar system is Venus.,4
"Several weeks after Alan Shepard became the first American in space, President John F, Kennedy gave a speech before both houses of Congress, committing the nation to space exploration.",4
"The official logo, mascot and hashtag were unveiled by the Chief Minister of Tamil Nadu M K Stalin and President of AICF Dr. Sanjay Kapoor in Chennai.",3
"def my_function(x):
  return x[::-1]

mytxt = my_function(""I wonder how this text looks like backwards"")

print(mytxt)",0
"Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",2
Smart grids revolutionize energy management by improving efficiency and reliability,1
India’s Rameshbabu Praggnanandhaa has defeated the reigning world champion Norway’s Magnus Carlsen.,3
"Classic white shirtdress worn over a colorful bikini, accessorized with a beach tote, flip-flops, and a floppy sun hat.",2
"Flowy tiered sundress in a soft, feminine print, worn with strappy flat sandals, a charm bracelet, and a dainty pendant necklace for a romantic summer look.",2
Shane Warne was a cricketer from Australia. He was a right-arm leg spinner who is widely regarded as one of the finest bowlers in cricket history,3
"// Declare an array of four integers:
int myNumbers[4];

// Add elements
myNumbers[0] = 25;
myNumbers[1] = 50;
myNumbers[2] = 75;
myNumbers[3] = 100;",0
Explain the concept of sustainable fashion and its importance.,2
"AttributeError                            Traceback (most recent call last)
/tmp/ipykernel_32/559223769.py in ?()
----> 1 data = data.append(data2)

/opt/conda/lib/python3.10/site-packages/pandas/core/generic.py in ?(self, name)
   5985             and name not in self._accessors
   5986             and self._info_axis._can_hold_identifiers_and_holds_name(name)
   5987         ):
   5988             return self[name]
-> 5989         return object.__getattribute__(self, name)

AttributeError: 'DataFrame' object has no attribute 'append'",0
"Implement a basic sorting algorithm (e.g., bubble sort) in Python, C++, and Ruby.",0
"By combining data from NASA's Chandra X-ray Observatory and NASA's James Webb Space Telescope, a team of researchers was able to find the telltale signature of a growing black hole just 470 million years after the big bang",4
Smartphone apps like the PokÃ©mon Go game and Snapchat filters are just two small popular examples of modern augmented reality applications,1
Can you review this Shell script: your_code_here and suggest areas for error handling?,0
"let person=""Hege"";",0
"I need a dataset with number rows and number columns. The columns should include “age,” “gender,” “income,” and “purchase history.” Please provide the dataset in CSV format.",0
Examine the impact of globalization on fashion trends and the fashion industry.,2
Evaluate the effectiveness of various strategies for promoting body positivity and inclusivity in fashion.,2
Describe the key features and benefits of the latest smartphone models.,1
"How could I make this data processing code more efficient lb = LabelEncoder()
mx = MinMaxScaler()
",0
"Advanced 3d printing is another item within this realm of emerging technologies, 3d printing poses the question",1
Humans have been sending space probes into space since the 1950s.,4
Can you find any performance issues in this Ruby code: your_code_here?,0
"First, the planet rotates on its side, appearing to roll around the sun like a ball, according to NASA's Uranus guide. ",4
Create career development guides tailored to your audience.,7
"Imagine you're creating a swimwear line for women. What styles, prints, and colors would you incorporate to make sure each piece is unique?",2
Messi Cries after Losing The Copa America Final,5
"From being used in agriculture, aerial photography, surveillance and logistics to increasing efficiency, reducing costs, and transforming industries from farming to filmmaking, drones have been proven to be one of the most impactful inventions of all time. ",1
"import pymongo

myclient = pymongo.MongoClient(""mongodb://localhost:27017/"")
mydb = myclient[""mydatabase""]
mycol = mydb[""customers""]

mydict = { ""name"": ""John"", ""address"": ""Highway 37"" }

x = mycol.insert_one(mydict)",0
"The Qatar World Cup marked several firsts in the history of the tournament - the first held in the Middle East, the first taking place in winter of the Northern Hemisphere.",3
"Elegant maxi dress with a halter neckline, worn with metallic sandals, a beaded clutch, and chandelier earrings for an evening event.",2
"Sally Ride became first American woman in space, about 20 years after Soviet cosmonaut Tereshkova became the first woman in space. Ride, who held a doctorate in physics, was selected as one of NASA's first six female astronauts. ",4
Can you help me perform dimensionality reduction on a high-dimensional dataset? Please write a structured query language (SQL) code to apply principal component analysis (PCA) and visualize the data in a reduced dimension space.,0
No list of emerging top technology trends is ever complete without talking about 5G,1
"As new smart devices and connected objects come into play, they’ll require a stronger connection to transmit data quickly and reliably. That’s where 5G comes in.",1
